academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Applied Social Sciences,GE2211,"Sexuality, Culture and Diversity",3,true,B,0,80,N,English,true
Management Sciences,GE2213,Understanding Uncertainty and Statistical Reasoning,3,true,"A,B",23,60,N,English,true
Applied Social Sciences,GE2221,Violence and Crime,3,true,B,11,280,N,English,true
Applied Social Sciences,GE2223,Interpersonal Skills and Positive Personal Development,3,true,B,2,40,N,English,true
Media and Communication,GE2225,Media and Consumption: Food and Fashion in Everyday Life,3,true,B,22,120,N,English,true
Applied Social Sciences,GE2226,Ageing Society: Hong Kong and Beyond,3,true,B,10,60,N,English,true
Management,GE2230,Revolutions in Global Business,3,true,"A,B",54,80,N,English,true
Management,GE2232,Knowing Ourselves Better in Work and Life,3,true,"A,B",28,80,N,English,true
Information Systems,GE2242,Conducting Online Commerce in China,3,true,B,39,160,N,English,true
Public Policy,GE2246,Changing Our Society: Turning Social Problems into Business Opportunities,3,true,B,4,80,N,English,true
Marketing,GE2248,Understanding Persuasion in Everyday Life,3,true,B,2,80,N,English,true
Management,GE2249,Maximising the Study Abroad Experience,3,true,B,73,80,N,English,true
Architecture and Civil Engg,GE2250,Understand Global Projects for Business and Engineering Professionals,3,true,B,51,80,N,English,true
Architecture and Civil Engg,GE2251,"Survey in Daily Life: Engineering, Business, and Political Applications",3,true,B,16,80,N,English,true
Architecture and Civil Engg,GE2253,Real Estate Development: Principles and Process,3,true,B,51,80,N,English,true
Information Systems,GE2257,Mobile Applications for Business,3,true,"A,B",47,80,N,English,true
Management,GE3204,Business and Hong Kong Society,3,true,B,11,80,N,English,true
Sch of Energy and Environment,GE1308,Energy: Today and Tomorrow,3,true,"A,B",4,60,N,English,true
Biology & Chemistry,GE1310,The Biochemistry of Attraction,3,true,"A,B",36,115,N,English,true
Electronic Engineering,GE1322,"Neural Interface: Technology, Culture, and Society",3,true,B,110,143,N,English,true
Systems Engg and Engg Mgt,GE1326,Common Accidents in Modern Day City Life - Inevitable? Preventable?,3,true,B,0,80,N,English,true
Mechanical and Biomedical Engg,GE1330,Learning from Nature,3,true,B,0,93,N,English,true
Electronic Engineering,GE1331,Problem Solving Made Easy,3,true,B,29,108,N,English,true
Architecture and Civil Engg,GE1332,Beauty of Ancient Chinese Architecture,3,true,B,6,107,N,English,true
Mechanical and Biomedical Engg,GE1334,New Materials in the 21st Century,3,true,B,15,93,N,English,true
Sch of Energy and Environment,GE1337,Urban Green City: Pollution and Solution,3,true,B,0,40,N,English,true
Biomedical Sciences,GE1341,Life and Health,3,true,B,6,150,N,English,true
Electronic Engineering,GE1342,Light: from Double Rainbows to Optical Fibers,3,true,B,1,144,N,English,true
Architecture and Civil Engg,GE1343,Energy Crisis and Renewable Energy,3,true,B,3,118,N,English,true
Mechanical and Biomedical Engg,GE1344,Nutrition and Wellness,3,true,B,28,93,N,English,true
Biology & Chemistry,GE1346,The Chemists Kitchen (The Science of Food and Cooking),3,true,B,0,80,N,English,true
Electronic Engineering,GE1347,Technology and the Land Trekking Adventurer,3,true,B,12,63,N,English,true
Mathematics,GE1350,Essential Mathematics in Daily Life,3,true,B,11,117,N,English,true
Mechanical and Biomedical Engg,GE2301,Science and Technology: From Past to Future,3,true,"A,B",5,53,N,English,true
Biology & Chemistry,GE2302,Forensics and Modern Society,3,true,B,3,60,N,English,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",90,210,N,English,true
Building Science & Technology,GE2314,Construction As One of the Founding Stones of Modern Hong Kong,3,true,"A,B",4,222,N,English,true
Computer Science,GE2315,Security and Privacy in the Information Age,3,true,"A,B",2,150,N,English,true
Electronic Engineering,GE2318,From Ancient Wisdom to Modern Science,3,true,B,57,108,N,English,true
Systems Engg and Engg Mgt,GE2319,Industrial Engineering and Management of Modern Enterprises,3,true,B,24,40,N,English,true
Biology & Chemistry,GE2322,The Nobel Prize: A Discovery Approach to Human Greatness,3,true,B,73,115,N,English,true
Computer Science,GE2323,"Mobile Social Networks: Practices, Challenges, and Beyond",3,true,"A,B",8,150,N,English,true
Computer Science,GE2324,The Art and Science of Data,3,true,"A,B",6,60,N,English,true
Building Science & Technology,GE2329,Green Buildings: Discovery and Innovations,3,true,"A,B",2,105,N,English,true
Information Systems,GE2335,Business Programming with Spreadsheet,3,true,"A,B",2,80,N,English,true
